Altium Designer Pick and Place Locations
C:\Users\puppy\AppData\Local\TempReleases\Snapshot\2\Assembly\Pick Place\Pick Place for Amplification_Board.txt

========================================================================================================================
File Design Information:

Date:       03/08/25
Time:       09:33
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                               Layer       Footprint                                  Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                       
R2         2.2K                                  TopLayer    RESC1608X55X30ML15T15                      860.000       760.000       90       "Res Thick Film 0603 2.2K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD Automotive T/R"                                                    
R15        "TE Connectivity CRGCQ0603J680R"      TopLayer    R0603                                      2440.002      1254.997      0        "SMD Chip Resistor, 680 Ohm, ± 5%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"                                       
D2         "15V Red LED"                         TopLayer    PCB-j4n23iwtpnxz235ppza8-1                 2590.000      1230.000      0        "Red 3.2 x 1.6 mm 1206 160° Water Clear 6 mcd 2.2 V PCB Surface Mount LED -- Lumex SML-LX1206IC-TR"                               
C16        "Panasonic EEE-FK1J470P"              TopLayer    AL_Capacitor_Case_F                        1320.000      265.000       0        "Capacitor Aluminum 47uF 63VDC 20% 8 X 10.2mm SMD 250mA 2000 hr T/R"                                                              
C15        "Panasonic EEE-FK1J470P"              TopLayer    AL_Capacitor_Case_F                        1320.000      830.000       0        "Capacitor Aluminum 47uF 63VDC 20% 8 X 10.2mm SMD 250mA 2000 hr T/R"                                                              
R10        "0 Ohm (Jumper)"                      TopLayer    RESC1608X55X30NL15T15                      2565.000      475.000       90       "CRG Series 0603 0 Ohm 0.1 W ±100 ppm/°C Surface Mount Thick Film Resistor -- TE Connectivity CRG0603ZR"                          
R11        "0 Ohm (Jumper)"                      TopLayer    RESC1608X55X30NL15T15                      2895.000      515.000       180      "CRG Series 0603 0 Ohm 0.1 W ±100 ppm/°C Surface Mount Thick Film Resistor -- TE Connectivity CRG0603ZR"                          
R13        "0 Ohm (Jumper)"                      BottomLayer RESC1608X55X30NL15T15                      3405.000      2945.000      180      "CRG Series 0603 0 Ohm 0.1 W ±100 ppm/°C Surface Mount Thick Film Resistor -- TE Connectivity CRG0603ZR"                          
R12        "0 Ohm (Jumper)"                      BottomLayer RESC1608X55X30NL15T15                      3405.000      2745.000      180      "CRG Series 0603 0 Ohm 0.1 W ±100 ppm/°C Surface Mount Thick Film Resistor -- TE Connectivity CRG0603ZR"                          
U2         "Murata Power Solutions NMA0515SC"    TopLayer    DIP14                                      2690.000      1425.000      180      "Module DC-DC 5VIN 2-OUT 15V/-15V 0.033A/-0.033A 1W 5-Pin SIP Tube"                                                               
U1         SSM2019BRNZ                           TopLayer    THAT_Corporation_THAT1512S08-U-Footprint-1 2165.000      520.000       0        "Audio Control, 5V To 20V, Soic, 8, -40 C Rohs Compliant: Yes -- Analog Devices"                                                  
R14        150Ohm                                TopLayer    CAPC1608X90X35NL15T15                      3225.000      1695.000      90       "Res Pulse Withstand Thick Film 0603 150 Ohm 1% 1/4W ±100ppm/°C Molded Paper T/R -- TE Connectivity CRGP0603F150R"                
R8         1K                                    TopLayer    RESC1608X55X30LL15T15                      2350.000      304.606       270      "Res Thick Film 0603 1K Ohm 5% 0.1W(1/10W) ±100ppm/C Pad SMD Automotive T/R -- TE Connectivity CRGCQ0603J1K0"                     
R7         "0 Ohm (Jumper)"                      TopLayer    RESC1608X55X30NL15T15                      2200.000      1470.000      270      "CRG Series 0603 0 Ohm 0.1 W ±100 ppm/°C Surface Mount Thick Film Resistor -- TE Connectivity CRG0603ZR"                          
R6         2.2K                                  TopLayer    RESC1608X55X30ML15T15                      2010.000      285.000       90       "Res Thick Film 0603 2.2K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD Automotive T/R"                                                    
R5         5.1Ohm                                TopLayer    0603R_A                                    2070.000      725.000       90       "Res Thick Film 0603 5.1 Ohm 5% 1/10W -100ppm/°C to 600ppm/°C Molded SMD SMD Punched Carrier T/R -- Panasonic  ECG ERJ-3GEYJ5R1V" 
R4         4.7K                                  TopLayer    PCB-m97qmgqrmz272q4klzpu-1                 1655.000      655.000       90       "SMD Chip Resistor, 4.7 kOhm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose -- TE Connectivity CRGCQ0603F4K7"     
R3         4.7K                                  TopLayer    PCB-m97qmgqrmz272q4klzpu-1                 1650.000      405.000       90       "SMD Chip Resistor, 4.7 kOhm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose -- TE Connectivity CRGCQ0603F4K7"     
R1         2.2K                                  TopLayer    RESC1608X55X30ML15T15                      865.000       318.543       90       "Res Thick Film 0603 2.2K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD Automotive T/R"                                                    
P1         "10K Pot"                             TopLayer    ALPS_RK09L114001T-Footprint-1              3060.638      2850.000      90       "Res POT 10K Ohm 20% 1/20W 1(Elec)/1(Mech)Turn 6mm (12.1 X 33.5mm) Pin Panel Mount/Bracket Mount Tray -- ALPS RK09L114001T"       
J4         "USB-C Power"                         TopLayer    Molex_217175-0001-Footprint-1              3786.693      1515.921      90       "Connector USB Type C Female 6Positions 0.5mm Right Angle SMT Embossed T/R - Molex"                                               
J3         "XLR Output"                          TopLayer    PCB-8hvkguqj1o7d1qh51e3y-1                 3518.661      752.598       270      "Xlr Audio Connector, Socket, 3, Pcb Mount, Metal Body, Gold Plated Contacts Rohs Compliant: Yes -- Neutrik NC3FAAH2"             
J2         "5V DC Berrel Jack"                   TopLayer    PCB-gxnxm3n04w37egsept5y-1                 3593.000      2124.500      90       "Conn; AV; Power; Jack; Mini; 2.0mmPinDia; RtAngle; Thru-hole; forS760, S765Plug"                                                 
